## RECSRecommendations Upload File,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.destinationCode,entity.sourceCode,entity.currency,entity.language,entity.sku,entity.date,entity.custom9,entity.custom10
30015,London,DestinationKSA,Vibrant experience in the heart of London,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/London.jpg,600,https://www.riyadhair.com/en/discover-riyadh,600,10.25,LHR,RUH,USD,en,LHR-RUH-131,18-09-2024,,
30016,Paris,DestinationKSA,"When in doubt, go to Paris",https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Paris.jpg,400,https://www.riyadhair.com/en/discover-riyadh,600,5.25,CDG,RUH,USD,en,CDG-RUH-132,25-09-2024,,
30017,New York,DestinationKSA,Fun and endless activities await at New York,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/New%20York.jpg,700,https://www.riyadhair.com/en/discover-riyadh,600,6.5,JFK,RUH,USD,en,JFK-RUH-133,22-09-2024,,
30018,Tokyo,DestinationKSA,Doing this sweet thing called exploring Tokyo,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Tokyo.jpg,900,https://www.riyadhair.com/en/discover-riyadh,600,20.55,HND,RUH,USD,en,HND-RUH-134,26-11-2024,,
30019,Mumbai,DestinationKSA,"Mumbai, the 'City of Dreams'",https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Mumbai.jpg,300,https://www.riyadhair.com/en/discover-riyadh,600,10.25,BOM,RUH,USD,en,BOM-RUH-135,18-09-2024,,
30020,Dubai,DestinationKSA,"Going to Dubai, be back never",https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Dubai.jpg,400,https://www.riyadhair.com/en/discover-riyadh,600,5.25,UAE,RUH,USD,en,UAE-RUH-136,25-09-2024,,
30021,Muscat,DestinationKSA,Warm hospitality and ancient history,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Muscat.jpg,800,https://www.riyadhair.com/en/discover-riyadh,600,10.25,MCT,RUH,USD,en,MCT-RUH-137,18-09-2024,,
30022,لندن,DestinationKSA,تجربة نابضة بالحياة في قلب لندن,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/London.jpg,600,https://www.riyadhair.com/en/discover-riyadh,600,10.25,LHR,RUH,USD,ar,LHR-RUH-131,18-09-2024,,
30023,باريس,DestinationKSA,"عندما تكون في شك ، اذهب إلى باريس",https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Paris.jpg,400,https://www.riyadhair.com/en/discover-riyadh,600,5.25,CDG,RUH,USD,ar,CDG-RUH-132,25-09-2024,,
30024,نيويورك,DestinationKSA,متعة وأنشطة لا نهاية لها تنتظرك في نيويورك,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/New%20York.jpg,700,https://www.riyadhair.com/en/discover-riyadh,600,6.5,JFK,RUH,USD,ar,JFK-RUH-133,22-09-2024,,
30025,طوكيو,DestinationKSA,القيام بهذا الشيء الجميل يسمى استكشاف طوكيو,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Tokyo.jpg,900,https://www.riyadhair.com/en/discover-riyadh,600,20.55,HND,RUH,USD,ar,HND-RUH-134,26-11-2024,,
30026,مومباي,DestinationKSA,"مومباي، ""مدينة الأحلام""",https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Mumbai.jpg,300,https://www.riyadhair.com/en/discover-riyadh,600,10.25,BOM,RUH,USD,ar,BOM-RUH-135,18-09-2024,,
30027,دبي,DestinationKSA,"الذهاب إلى دبي ، لن أعود أبدا",https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Dubai.jpg,400,https://www.riyadhair.com/en/discover-riyadh,600,5.25,UAE,RUH,USD,ar,UAE-RUH-136,25-09-2024,,
30028,مسقط,DestinationKSA,كرم الضيافة والتاريخ القديم,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Muscat.jpg,800,https://www.riyadhair.com/en/discover-riyadh,600,10.25,MCT,RUH,USD,ar,MCT-RUH-137,18-09-2024,,
