## RECSRecommendations Upload File,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.destinationCode,entity.sourceCode,entity.currency,entity.language,entity.sku,entity.date,entity.custom9,entity.custom10
30001,Paris,DestinationKSA,"When in doubt, go to Paris",https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Paris.jpg,600,https://www.riyadhair.com/en/discover-riyadh,600,10.25,CDG,RUH,USD,en,RUH-CDG-11,18-09-2024,,
30002,New York,DestinationKSA,Fun and endless activities await at New York,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/New%20York.jpg,400,https://www.riyadhair.com/en/discover-riyadh,600,5.25,NY,RUH,USD,en,RUH-NY-11,25-09-2024,,
30003,Tokyo,DestinationKSA,Tokyo Tokyo Old meets New,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Tokyo.jpg,700,https://www.riyadhair.com/en/discover-riyadh,600,6.5,HND,RUH,USD,en,RUH-HND-11,22-09-2024,,
30004,Jeddah,DestinationKSA,Discovering Jeddah,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Jeddah.jpg,900,https://www.riyadhair.com/en/discover-riyadh,600,20.55,JED,RUH,USD,en,RUH-JED-11,26-11-2024,,
30005,Dubai,DestinationKSA,"Going to Dubai, be back never",https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Dubai.jpg,300,https://www.riyadhair.com/en/discover-riyadh,600,10.25,UAE,RUH,USD,en,RUH-UAE-11,18-09-2024,,
30006,Muscat,DestinationKSA,warm hospitality and ancient history,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Muscat.jpg,400,https://www.riyadhair.com/en/discover-riyadh,600,5.25,MCT,RUH,USD,en,RUH-MCT-11,25-09-2024,,
30007,Riyadh,NonKSA, An ancient fortress that symbolizes Saudi Arabia's unification ,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Riyadh.jpg,800,https://www.riyadhair.com/en/discover-riyadh,600,10.25,RUH,NY,USD,en,NY-RUH-11,18-09-2024,,
30008,Dubai,NonKSA,"Going to Dubai, be back never",https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Dubai.jpg,300,https://www.riyadhair.com/en/discover-riyadh,600,5.25,RUH,UAE,USD,en,UAE-RUH-55,25-09-2024,,
30009,Muscat,NonKSA,warm hospitality and ancient history,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Muscat.jpg,400,https://www.riyadhair.com/en/discover-riyadh,600,6.5,RUH,MCT,USD,en,MCT-RUH-66,22-09-2024,,
30010,London,NonKSA,Vibrant experience in the heart of London,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/London.jpg,550,https://www.riyadhair.com/en/discover-riyadh,600,20.55,RUH,LHR,USD,en,LHR-RUH-22,26-11-2024,,
30011,Paris,NonKSA,"When in doubt, go to Paris",https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Paris.jpg,600,https://www.riyadhair.com/en/discover-riyadh,600,10.25,RUH,CDG,USD,en,CDG-RUH-11,18-09-2024,,
30012,Tokyo,NonKSA,Tokyo Tokyo Old meets New,https://raw.githubusercontent.com/krmonuk/DestinationKSA-NonKSA/refs/heads/main/Tokyo.jpg,700,https://www.riyadhair.com/en/discover-riyadh,600,5.25,RUH,HND,USD,en,HND-RUH-55,25-09-2024,,
